2010-10-04	2011-01-25	2011-10-05	2011-10-12	2012-01-11	isolates
4.921787636668974	5.415142799819511	5.438468245093694	4.6013524675366995	7.91592679410736	Isolate_00005
12.123791071643263	38.75345080519535	12.826160792105675	10.557553129932744	18.998949578491104	Isolate_00010
1.8921581532759593	3.372688263884198	3.0823130067334428	2.807494264673802	5.0476864488275766	Isolate_00023
3.4924367766862097	4.001232187632417	6.742121988364338	5.334034768435304	8.252291233313516	Isolate_00028
4.578130910915379	3.414790162562983	3.117883947847394	3.2811474909461116	7.930701496173554	Isolate_00033
3.303382225344599	3.137537834063124	4.512152472027467	3.763764928186633	3.93622756799692	Isolate_00052A
5.067725898176703	1.7627225033433676	2.562553476279673	2.048255327032702	2.884307885299544	Isolate_00062
1.987069101053748	2.376443870894185	2.123757160216911	1.9324687233860702	3.1399230178951636	Isolate_00064
4.456478798844096	2.7639923447924972	3.9806327248487214	2.8559904803358447	4.445331190975889	Isolate_00065
2.831163727200352	1.2988245676467352	2.2272952882510433	1.6387603995297895	2.5485392749557323	Isolate_00072A
3.0269631270811845	1.5207758347370435	2.506703622670345	1.8571456138240656	2.736650821299189	Isolate_00073
1.999143898459958	1.4538697037002728	1.5702803394200469	1.4019162527597266	1.8354257137564456	Isolate_00102
6.506759471757183	57.60579489664983	8.173150234147611	6.881050897229458	12.889256231189753	Isolate_00160B
2.6558642336130043	1.2808003816789129	1.7874078079214555	1.4283231110537131	2.374361995251445	Isolate_00164
4.4899745107526785	5.063556654790274	6.938532042678666	5.392097035279644	8.236794454756614	Isolate_00201
3.505654758453772	3.8354374851528727	7.155550138404914	5.725192666574069	8.380076291017513	Isolate_00201A
0.7742732163458419	1.01466373429655	0.9202979223024814	0.9071051219342573	1.6134230579079383	Isolate_00204
0.8060883886227879	1.065418109583402	0.9304715241049344	0.9321153024035395	1.6327792266020247	Isolate_00204C
2.4172959868320305	1.7139448931459584	2.3177710718015705	1.7683752740138208	3.0100533670625365	Isolate_00212C
5.48170026346958	7.0545811185340845	8.443372709190857	7.186516615380161	10.986982971477536	Isolate_00214
4.210142241287635	4.143438006791563	7.882972063179121	6.1928742896058555	10.559540832637387	Isolate_00216B
2.4972137578440856	1.476581727654569	2.61806736404854	1.9700520331491584	3.30308451572384	Isolate_00249
4.3281283445459335	2.1630560892421014	2.4241631000093404	1.9754009684265257	4.066033239041164	Isolate_00252A
2.075970093467142	1.587732907958486	2.1047126031983394	1.6143990310812733	2.4204170338165056	Isolate_00253
3.278386926538812	1.604923628228356	6.557990406361595	4.793347988508346	7.90827758967424	Isolate_00254
2.6185687130464443	0.871782226065452	0.9612101580287546	0.9474349363924591	1.7349922327699765	Isolate_00255
0.9342630508899712	0.9346941702211876	0.6945494100594884	0.6888272204609831	0.7912969123962487	Isolate_00259
2.4880670891275556	1.260867172949492	2.1938155049671386	1.5525992519312677	2.277377885322261	Isolate_00260
2.4284300068276856	4.223780493424593	5.6790958463558905	5.252593545313856	7.593564476175088	Isolate_00261
2.323281106504958	2.108293006346502	2.734901829375616	2.6281839361763546	4.753526679494918	Isolate_00350B
2.6029353304882434	1.0686775051984472	1.144906348776118	0.9258667687734708	2.1498167919287647	Isolate_00351B
2.4169995678983907	2.298517803928513	2.7274572935685217	2.5210045148374145	4.842406243687198	Isolate_00352A
2.796528266815657	2.072329401999826	2.7630685396912544	2.221184805380491	3.689239764619584	Isolate_00352B
7.59477940703788	5.555677132459588	7.216203026300984	5.931967566415496	10.581182086317709	Isolate_00353A
2.807853789182385	2.413348050132513	2.952116118919951	2.457688550404997	4.500898728195626	Isolate_00353C
2.8221629155641454	1.9544861215730411	2.7337454791712203	2.1416180996450063	3.619465627183055	Isolate_00354B
4.727827139595308	2.2744013672010768	2.8612685214088165	2.382556413668015	3.9356707748871824	Isolate_00357A
3.186491614312294	1.6460096096937387	2.573333303825022	1.913696066727143	2.940506710588673	Isolate_00357B
4.6259172263160275	2.897312325009441	3.7115070525615392	2.887320946894021	4.233869331818211	Isolate_00400
4.359459067900809	4.89683667929633	5.983813318691054	5.018442118933033	8.06552857473129	Isolate_00401
0.8150365087123363	0.7985487504887889	0.8285649324908848	0.887425333636332	0.7564021944857835	Isolate_00403
0.5569062001030176	0.7036321247339845	0.7585684156889834	0.8044966726625064	0.8935946673675077	Isolate_00406
5.754391685667791	17.370967047921784	14.743437537238137	16.433316735507066	24.31067110550255	Isolate_00408
3.6942138069201773	1.9007474590157216	1.6585570139918975	1.5084295525431688	3.582364001031852	Isolate_00410
0.6948575805800934	0.697937636619166	0.6203875461248518	0.63969678525197	0.8249831094442146	Isolate_00454A
3.8320593249487565	7.279916493604341	7.781167610008686	8.09025013304154	7.9315808520469595	Isolate_00455
1.8546965600855387	1.3757229182992958	1.9666662266499766	1.4568916276204384	2.333279135046011	Isolate_00457
3.5661401951120446	1.8847890957697986	1.968353214130893	1.6304438759032627	3.9577447812124955	Isolate_00459D
1.3213725766876026	1.3424565699316569	1.5940748048567552	1.2800830554772358	2.349235472852487	Isolate_00462B
9.418758645694808	6.077439911679526	7.440247971319582	6.079876736378703	11.149413380375487	Isolate_00501
12.273259123949574	62.74351653554209	14.629670005958237	12.38752082258957	22.569849232250437	Isolate_00514
12.153814923226117	73.3264887239963	15.646465011206086	13.108946048526699	22.97578938585268	Isolate_00522
8.39432979468858	5.874508819889764	9.76794833817169	6.895168275195625	10.552793468129394	Isolate_00528
1.1539221000280615	0.6467800157317081	0.7369766759385279	0.8770112941707495	0.939645576160445	Isolate_00536
6.845477327009282	16.83708870287098	16.52769941203096	16.680618779669285	26.069978718143954	Isolate_00539
1.1737332688352007	1.2840092802958414	1.1354083129820247	1.116616396503597	1.656532389851154	Isolate_00541
9.503205547438169	29.64375456579391	19.31123067371517	18.913189209783994	27.454307704895342	Isolate_00547
9.000069817797874	11.180564268051814	12.090015558344069	10.323966142824215	15.700913164552775	Isolate_00548
10.497336444184466	14.265830309350509	16.998001889991034	16.622138490311006	26.24655532758132	Isolate_00556
1.0964132549565966	0.7003436968902962	0.7711069786324083	0.874713502819471	1.038199682431604	Isolate_00565
2.9926137472038885	6.602999180230674	6.840101491181553	7.5466906818592525	7.1046348127834715	Isolate_00575
12.003302807171945	10.253207322321753	12.588028794313585	11.016833228198262	17.062395816989387	Isolate_00577
3.8238606521601137	9.749668549507392	9.33936817034494	8.29420243561765	8.237249667639166	Isolate_00580
12.525256921165631	15.659820841644217	21.553458063460564	19.106212290517835	25.604079251284308	Isolate_00589
12.560644931569845	29.557218114824707	26.45610084569422	23.136606682837073	34.25194635972322	Isolate_00591
2.2801880430693147	0.9944018622461761	1.731181953204134	1.3155061055348365	1.7836130043312801	Isolate_00592
4.909149155685547	7.97446724987246	8.16439618133693	7.2643715269124725	13.794239831503754	Isolate_00601
11.12584852166666	16.36759424756257	21.489311060097354	18.934366603064934	28.434424042255	Isolate_00604
10.754699525980813	14.876096707935583	19.502094764685847	17.272318913044746	27.349461943509105	Isolate_00607
7.206533347376081	12.936290134631156	13.076140834535657	11.860512218566834	19.372438973462312	Isolate_00608
9.083348680422478	10.949362126344381	12.097601617157592	10.887994514197894	17.823750079919776	Isolate_00610
3.8792812426813694	9.414702553466736	12.503403815099652	11.195989362114453	13.648086023632935	Isolate_00611
12.388245369023274	13.625752495204441	21.17137466009867	16.880726936458014	25.840530909550452	Isolate_00660
9.289924343938996	11.45471479176003	15.540692228416345	13.628077660668831	22.3741520858824	Isolate_00663
3.1751928478160014	4.343038832992946	4.398206448886196	4.164871988520336	6.724953529013517	Isolate_00667
5.590008418731694	3.4990515817577896	6.514059589692359	5.058585496039494	7.797570040357137	Isolate_00701
4.853318568771192	4.528306966901177	6.320995231051039	5.119884112748922	10.120027682117241	Isolate_00750
3.107973525488708	2.7660994556160707	5.25676757925789	4.796821664067082	7.300097439051855	Isolate_00752
3.6944131725992455	5.917348695056127	6.206461438784192	5.424885047099896	10.549465177010383	Isolate_00810
4.689954173591893	5.583411399476765	5.788548929310637	5.03633142976973	9.12513913733754	Isolate_00814
6.468853005565553	17.543307255164503	16.936762174390218	18.720507088530702	28.29981369957628	Isolate_00908
2.9989588443474733	1.4086315633170554	2.2168743134062225	1.6826128379309044	2.5436083498623883	Isolate_01055
11.708508922719881	2.019810509839255	3.6669030478783347	2.5682953540782787	3.558149131169048	Isolate_01056
3.1049993676150183	1.4034502669060462	2.1587918180873706	1.6771636993360743	2.489814361264574	Isolate_01060
